Episode 95, Reward: -252.64, Steps: 445, Epsilon: 0.0500
Episode 96, Reward: 346.58, Steps: 409, Epsilon: 0.0500
Episode 97, Reward: -123.61, Steps: 490, Epsilon: 0.0500
Episode 98, Reward: -171.75, Steps: 582, Epsilon: 0.0500
Episode 99, Reward: -32.34, Steps: 518, Epsilon: 0.0500
Episode 100, Reward: -172.11, Steps: 382, Epsilon: 0.0500
Episode 101, Reward: 267.64, Steps: 384, Epsilon: 0.0500
Episode 102, Reward: -1455.27, Steps: 899, Epsilon: 0.0500
Episode 103, Reward: -31.23, Steps: 453, Epsilon: 0.0500
Episode 104, Reward: 327.70, Steps: 383, Epsilon: 0.0500
Episode 105, Reward: -470.70, Steps: 575, Epsilon: 0.0500
Episode 106, Reward: 270.52, Steps: 450, Epsilon: 0.0500
Episode 107, Reward: -241.00, Steps: 444, Epsilon: 0.0500
Episode 108, Reward: -24.98, Steps: 559, Epsilon: 0.0500
Episode 109, Reward: 137.12, Steps: 566, Epsilon: 0.0500
Episode 110, Reward: -408.62, Steps: 671, Epsilon: 0.0500
Episode 111, Reward: 198.82, Steps: 375, Epsilon: 0.0500
Episode 112, Reward: -1139.64, Steps: 709, Epsilon: 0.0500
Episode 113, Reward: -164.97, Steps: 361, Epsilon: 0.0500
Episode 114, Reward: 133.46, Steps: 315, Epsilon: 0.0500
Episode 115, Reward: 118.73, Steps: 334, Epsilon: 0.0500
Episode 116, Reward: -90.06, Steps: 430, Epsilon: 0.0500
Episode 117, Reward: 85.87, Steps: 543, Epsilon: 0.0500
Episode 118, Reward: 277.23, Steps: 410, Epsilon: 0.0500
Episode 119, Reward: -1534.74, Steps: 881, Epsilon: 0.0500
Episode 120, Reward: 91.89, Steps: 325, Epsilon: 0.0500
Episode 121, Reward: 198.42, Steps: 395, Epsilon: 0.0500
Episode 122, Reward: -260.11, Steps: 578, Epsilon: 0.0500
Episode 123, Reward: -387.95, Steps: 881, Epsilon: 0.0500
Episode 124, Reward: 221.02, Steps: 538, Epsilon: 0.0500
Episode 125, Reward: 154.33, Steps: 460, Epsilon: 0.0500
Episode 126, Reward: -25.61, Steps: 414, Epsilon: 0.0500
Episode 127, Reward: 266.19, Steps: 298, Epsilon: 0.0500
Episode 128, Reward: -579.99, Steps: 501, Epsilon: 0.0500
Episode 129, Reward: -228.14, Steps: 421, Epsilon: 0.0500
Episode 130, Reward: -66.14, Steps: 474, Epsilon: 0.0500
Episode 131, Reward: -162.10, Steps: 409, Epsilon: 0.0500
Episode 132, Reward: 84.12, Steps: 333, Epsilon: 0.0500
Episode 133, Reward: 327.89, Steps: 373, Epsilon: 0.0500
Episode 134, Reward: 293.28, Steps: 346, Epsilon: 0.0500
Episode 135, Reward: 327.64, Steps: 346, Epsilon: 0.0500
Episode 136, Reward: -129.56, Steps: 483, Epsilon: 0.0500
Episode 137, Reward: 105.55, Steps: 402, Epsilon: 0.0500
Episode 138, Reward: 326.47, Steps: 357, Epsilon: 0.0500
Episode 139, Reward: -360.62, Steps: 608, Epsilon: 0.0500
Episode 140, Reward: 269.00, Steps: 289, Epsilon: 0.0500
Episode 141, Reward: -15.68, Steps: 394, Epsilon: 0.0500
Episode 142, Reward: 291.89, Steps: 410, Epsilon: 0.0500
Episode 143, Reward: -142.99, Steps: 537, Epsilon: 0.0500
Episode 144, Reward: -128.59, Steps: 390, Epsilon: 0.0500
Episode 145, Reward: 188.11, Steps: 506, Epsilon: 0.0500
